"","source","first_order_sum","total_order_sum","first_order_mean","total_order_mean","first_pct_of_total","overall_pct"
"1","Host",25.2049002901868,211.784259812139,0.000144589836451278,0.0012149165891013,0.119012150915014,0.178798727006112
"2","IC",17.64336603721,244.624267018713,0.000101212517423187,0.0014033057997861,0.0721243491180714,0.206523882258988
"3","Weather",57.6406740788686,178.094910734639,0.000330660131246378,0.00102165506387471,0.323651438668863,0.150356515417466
"4","Par",35.8579671915564,194.952655202134,0.000205701968744587,0.00111836080313294,0.183931668714014,0.164588655490842
"5","Process",2.73473410733102,355.028066366795,0.0000156880111710132,0.00203664563083292,0.00770286736853545,0.299732219826593
